method,m,n,k,trials,successes,failures,success_rate
IHT,200,1000,2,500,500,0,1.0
IHT,200,1000,4,500,497,3,0.994
IHT,200,1000,6,500,494,6,0.988
IHT,200,1000,8,500,493,7,0.986
IHT,200,1000,10,500,487,13,0.974
IHT,200,1000,12,500,487,13,0.974
IHT,200,1000,14,500,484,16,0.968
IHT,200,1000,16,500,472,28,0.944
IHT,200,1000,18,500,479,21,0.958
IHT,200,1000,20,500,459,41,0.918
IHT,200,1000,22,500,465,35,0.93
IHT,200,1000,24,500,466,34,0.932
IHT,200,1000,26,500,444,56,0.888
IHT,200,1000,28,500,454,46,0.908
IHT,200,1000,30,500,433,67,0.866
IHT,200,1000,32,500,425,75,0.85
IHT,200,1000,34,500,418,82,0.836
IHT,200,1000,36,500,417,83,0.834
IHT,200,1000,38,500,411,89,0.822
IHT,200,1000,40,500,407,93,0.814
IHT,200,1000,42,500,368,132,0.736
IHT,200,1000,44,500,313,187,0.626
IHT,200,1000,46,500,319,181,0.638
IHT,200,1000,48,500,259,241,0.518
IHT,200,1000,50,500,188,312,0.376
IHT,200,1000,52,500,129,371,0.258
IHT,200,1000,54,500,63,437,0.126
IHT,200,1000,56,500,41,459,0.082
IHT,200,1000,58,500,26,474,0.052
IHT,200,1000,60,500,15,485,0.03
IHT,200,1000,62,500,3,497,0.006
IHT,200,1000,64,500,1,499,0.002
IHT,200,1000,66,500,0,500,0.0
IHT,200,1000,68,500,0,500,0.0
IHT,200,1000,70,500,0,500,0.0
IHT,200,1000,72,500,0,500,0.0
IHT,200,1000,74,500,0,500,0.0
IHT,200,1000,76,500,0,500,0.0
IHT,200,1000,78,500,0,500,0.0
IHT,200,1000,80,500,0,500,0.0
IHT,200,1000,82,500,0,500,0.0
IHT,200,1000,84,500,0,500,0.0
IHT,200,1000,86,500,0,500,0.0
IHT,200,1000,88,500,0,500,0.0
IHT,200,1000,90,500,0,500,0.0
IHT,200,1000,92,500,0,500,0.0
IHT,200,1000,94,500,0,500,0.0
IHT,200,1000,96,500,0,500,0.0
IHT,200,1000,98,500,0,500,0.0
IHT,200,1000,100,500,0,500,0.0
IHT,200,1000,102,500,0,500,0.0
IHT,200,1000,104,500,0,500,0.0
IHT,200,1000,106,500,0,500,0.0
IHT,200,1000,108,500,0,500,0.0
IHT,200,1000,110,500,0,500,0.0
IHT,200,1000,112,500,0,500,0.0
IHT,200,1000,114,500,0,500,0.0
IHT,200,1000,116,500,0,500,0.0
IHT,200,1000,118,500,0,500,0.0
IHT,200,1000,120,500,0,500,0.0
HTP,200,1000,2,500,500,0,1.0
HTP,200,1000,4,500,496,4,0.992
HTP,200,1000,6,500,494,6,0.988
HTP,200,1000,8,500,493,7,0.986
HTP,200,1000,10,500,486,14,0.972
HTP,200,1000,12,500,486,14,0.972
HTP,200,1000,14,500,480,20,0.96
HTP,200,1000,16,500,472,28,0.944
HTP,200,1000,18,500,475,25,0.95
HTP,200,1000,20,500,457,43,0.914
HTP,200,1000,22,500,462,38,0.924
HTP,200,1000,24,500,464,36,0.928
HTP,200,1000,26,500,436,64,0.872
HTP,200,1000,28,500,446,54,0.892
HTP,200,1000,30,500,424,76,0.848
HTP,200,1000,32,500,428,72,0.856
HTP,200,1000,34,500,414,86,0.828
HTP,200,1000,36,500,407,93,0.814
HTP,200,1000,38,500,386,114,0.772
HTP,200,1000,40,500,414,86,0.828
HTP,200,1000,42,500,355,145,0.71
HTP,200,1000,44,500,307,193,0.614
HTP,200,1000,46,500,302,198,0.604
HTP,200,1000,48,500,257,243,0.514
HTP,200,1000,50,500,240,260,0.48
HTP,200,1000,52,500,182,318,0.364
HTP,200,1000,54,500,108,392,0.216
HTP,200,1000,56,500,97,403,0.194
HTP,200,1000,58,500,88,412,0.176
HTP,200,1000,60,500,46,454,0.092
HTP,200,1000,62,500,15,485,0.03
HTP,200,1000,64,500,6,494,0.012
HTP,200,1000,66,500,6,494,0.012
HTP,200,1000,68,500,2,498,0.004
HTP,200,1000,70,500,1,499,0.002
HTP,200,1000,72,500,0,500,0.0
HTP,200,1000,74,500,0,500,0.0
HTP,200,1000,76,500,0,500,0.0
HTP,200,1000,78,500,0,500,0.0
HTP,200,1000,80,500,0,500,0.0
HTP,200,1000,82,500,0,500,0.0
HTP,200,1000,84,500,0,500,0.0
HTP,200,1000,86,500,0,500,0.0
HTP,200,1000,88,500,0,500,0.0
HTP,200,1000,90,500,0,500,0.0
HTP,200,1000,92,500,0,500,0.0
HTP,200,1000,94,500,0,500,0.0
HTP,200,1000,96,500,0,500,0.0
HTP,200,1000,98,500,0,500,0.0
HTP,200,1000,100,500,0,500,0.0
HTP,200,1000,102,500,0,500,0.0
HTP,200,1000,104,500,0,500,0.0
HTP,200,1000,106,500,0,500,0.0
HTP,200,1000,108,500,0,500,0.0
HTP,200,1000,110,500,0,500,0.0
HTP,200,1000,112,500,0,500,0.0
HTP,200,1000,114,500,0,500,0.0
HTP,200,1000,116,500,0,500,0.0
HTP,200,1000,118,500,0,500,0.0
HTP,200,1000,120,500,0,500,0.0
SP,200,1000,2,500,500,0,1.0
SP,200,1000,4,500,496,4,0.992
SP,200,1000,6,500,494,6,0.988
SP,200,1000,8,500,493,7,0.986
SP,200,1000,10,500,486,14,0.972
SP,200,1000,12,500,486,14,0.972
SP,200,1000,14,500,481,19,0.962
SP,200,1000,16,500,472,28,0.944
SP,200,1000,18,500,476,24,0.952
SP,200,1000,20,500,461,39,0.922
SP,200,1000,22,500,465,35,0.93
SP,200,1000,24,500,465,35,0.93
SP,200,1000,26,500,446,54,0.892
SP,200,1000,28,500,460,40,0.92
SP,200,1000,30,500,445,55,0.89
SP,200,1000,32,500,441,59,0.882
SP,200,1000,34,500,444,56,0.888
SP,200,1000,36,500,449,51,0.898
SP,200,1000,38,500,427,73,0.854
SP,200,1000,40,500,434,66,0.868
SP,200,1000,42,500,429,71,0.858
SP,200,1000,44,500,410,90,0.82
SP,200,1000,46,500,416,84,0.832
SP,200,1000,48,500,397,103,0.794
SP,200,1000,50,500,404,96,0.808
SP,200,1000,52,500,381,119,0.762
SP,200,1000,54,500,344,156,0.688
SP,200,1000,56,500,323,177,0.646
SP,200,1000,58,500,289,211,0.578
SP,200,1000,60,500,232,268,0.464
SP,200,1000,62,500,169,331,0.338
SP,200,1000,64,500,138,362,0.276
SP,200,1000,66,500,87,413,0.174
SP,200,1000,68,500,68,432,0.136
SP,200,1000,70,500,23,477,0.046
SP,200,1000,72,500,20,480,0.04
SP,200,1000,74,500,4,496,0.008
SP,200,1000,76,500,1,499,0.002
SP,200,1000,78,500,0,500,0.0
SP,200,1000,80,500,0,500,0.0
SP,200,1000,82,500,0,500,0.0
SP,200,1000,84,500,0,500,0.0
SP,200,1000,86,500,0,500,0.0
SP,200,1000,88,500,0,500,0.0
SP,200,1000,90,500,0,500,0.0
SP,200,1000,92,500,0,500,0.0
SP,200,1000,94,500,0,500,0.0
SP,200,1000,96,500,0,500,0.0
SP,200,1000,98,500,0,500,0.0
SP,200,1000,100,500,0,500,0.0
SP,200,1000,102,500,0,500,0.0
SP,200,1000,104,500,0,500,0.0
SP,200,1000,106,500,0,500,0.0
SP,200,1000,108,500,0,500,0.0
SP,200,1000,110,500,0,500,0.0
SP,200,1000,112,500,0,500,0.0
SP,200,1000,114,500,0,500,0.0
SP,200,1000,116,500,0,500,0.0
SP,200,1000,118,500,0,500,0.0
SP,200,1000,120,500,0,500,0.0
